"Species_name","Depth","DepthRangeDeep","Reef","Site","Method","Trophic Group","Functional Group","depth_increase"
"Plectorhinchus chaetodonoides",39,30,"Lihou","EdnaCay_2","ROV","piscivore","Carnivore",9
"Scarus forsteni",39,30,"Lihou","EdnaCay_2","ROV","herbivore-detritivore","Scraper",9
"Amphiprion chrysopterus",48.9,40,"Lihou","Lihou_S1","ROV","planktivore","Omnivore",8.9
"Chaetodon ornatissimus",44.8,36,"Lihou","Lihou_N1","ROV","invertivore-sessile","Corallivore",8.8
"Centropyge heraldi",98,90,"Lihou","JulCay_1","ROV","herbivore-detritivore","Grazer",8
"Pomacentrus brachialis",48,40,"Lihou","Lihou_S1","BRUV","herbivore-detritivore","Omnivore",8
"Oxycheilinus digramma",67.3,60,"Bougainville","BVille_1","ROV","piscivore","Carnivore",7.3
"Macolor niger",97.2,90,"Osprey","Osp_N1","ROV","planktivore","Planktivore",7.2
"Chromis fumea",79,72,"Lihou","EdnaCay_1","ROV","planktivore","Planktivore",7
"Cirrhilabrus lineatus",62,55,"Willis","Willis_1","BRUV","planktivore","Planktivore",7
"Naso minor",62,55,"Willis","Willis_1","BRUV","planktivore","Planktivore",7
"Scolopsis bilineata",32,25,"Ashmore","Ashmore_3","BRUV","invertivore-mobile","Carnivore",7
"Epinephelus fuscoguttatus",66.7,60,"Bougainville","BVille_1","ROV","piscivore","Piscivore",6.7
"Rhinecanthus lunula",36.5,30,"Wreck","Wreck_E1","ROV","invertivore-mobile","Benthic invertivore",6.5
"Chaetodon speculum",36.4,30,"Bougainville","BVille_1","ROV","invertivore-sessile","Corallivore",6.4
"Cirrhilabrus scottorum",46.4,40,"Lihou","Lihou_S1","ROV","planktivore","Planktivore",6.4
"Siganus punctatissimus",36.4,30,"Bougainville","BVille_1","ROV","herbivore-detritivore","Grazer",6.4
"Pomacentrus vaiuli",51,45,"Willis","Willis_1","BRUV","planktivore","Omnivore",6
"Pseudalutarius nasicornis",61,55,"Lihou","Lihou_S1","BRUV","invertivore-sessile","Benthic invertivore",6
"Pseudocoris yamashiroi",36,30,"Lihou","Lihou_N1","BRUV","planktivore","Benthic invertivore",6
"Heniochus chrysostomus",45.5,40,"Bougainville","BVille_1","ROV","invertivore-mobile","Corallivore",5.5
"Cetoscarus ocellatus",35,30,"Herald","Herald_1","BRUV","herbivore-detritivore","Excavator",5
"Epinephelus polyphekadion",51,46,"Holmes","Holmes_1","BRUV","piscivore","Carnivore",5
"Scarus schlegeli",55,50,"Lihou","Lihou_S1","BRUV","herbivore-detritivore","Scraper",5
"Paracirrhites forsteri",39.6,35,"Herald's Surprise","HerSurp_1","ROV","piscivore","Carnivore",4.6
"Macropharyngodon negrosensis",36,32,"Lihou","Lihou_N1","BRUV","invertivore-mobile","Benthic invertivore",4
"Pseudocheilinus evanidus",65,61,"Wreck","Wreck_W1","BRUV","invertivore-mobile","Benthic invertivore",4
"Chromis alpha",98,95,"Lihou","JulCay_1","ROV","planktivore","Planktivore",3
"Chromis atripes",42.3,40,"Willis","Willis_N1","ROV","omnivore","Planktivore",2.3
"Amblyglyphidodon curacao",42,40,"Kenn","Kenn_1","BRUV","omnivore","Planktivore",2
"Cephalopholis argus",42,40,"Kenn","Kenn_1","BRUV","piscivore","Piscivore",2
"Chromis xanthura",42,40,"Kenn","Kenn_1","BRUV","planktivore","Planktivore",2
"Pomachromis richardsoni",27,25,"Ashmore","Ashmore_2","BRUV","planktivore","Planktivore",2
"Amblyglyphidodon leucogaster",46.6,45,"Holmes","Holmes_2","ROV","planktivore","Omnivore",1.6
"Centropyge flavissima",51.5,50,"Willis","Willis_N1","ROV","herbivore-detritivore","Grazer",1.5
"Dascyllus reticulatus",51.5,50,"Willis","Willis_N1","ROV","omnivore","Planktivore",1.5
"Halichoeres hortulanus",31.5,30,"Wreck","Wreck_E1","ROV","invertivore-mobile","Benthic invertivore",1.5
"Chrysiptera starcki",61.3,60,"Herald's Surprise","HerSurp_1","ROV","planktivore","Omnivore",1.3
"Carangoides ferdau",61,60,"Flinders","Flinders_N1","BRUV","piscivore","Piscivore",1
"Cheilinus chlorourus",31,30,"Wreck","Wreck_W1","BRUV","invertivore-mobile","Benthic invertivore",1
"Coris aygula",31,30,"Wreck","Wreck_W1","BRUV","invertivore-mobile","Benthic invertivore",1
"Pomacentrus nagasakiensis",36,35,"Lihou","Lihou_N1","BRUV","planktivore","Planktivore",1
"Pomacentrus nigromarginatus",51,50,"Holmes","Holmes_1","BRUV","planktivore","Planktivore",1
"Arothron caeruleopunctatus",50.1,50,"Willis","Willis_N1","ROV","invertivore-sessile","Benthic invertivore",0.100000000000001
