Filename,Frame,Time (HMS),Period,Period time (HMS),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Depth,Family,Genus,Species,Code,Number,Stage,Activity,Comment
PL_L_WRECK_W_7-2-21_P02.MP4,12102,16:44.4,T2,00:17.7,197.545,32.803,33.242,3128.558,6.358,32.391,16.143,121.528,-324.468,-3109.313,Wreck_East_07022021,GFG,30-37m,Labridae,Gomphosus,varius,37384106,1,AD,Passing,
PL_L_WRECK_W_7-2-21_P02.MP4,12102,16:44.4,T2,00:17.7,132.176,67.62,48.072,4463.296,15.238,31.64,6.007,956.473,-679.209,-4306.373,Wreck_East_07022021,GFG,30-37m,Chaetodontidae,Forcipiger,flavissimus,37365068,1,AD,Passing,
PL_L_WRECK_W_7-2-21_P02.MP4,12102,16:44.4,T2,00:17.7,126.446,7.26,30.095,2290.387,12.641,9.66,39.685,-497.324,62.607,-2234.865,Wreck_East_07022021,GFG,30-37m,Acanthuridae,Ctenochaetus,striatus,37437022,1,AD,Passing,
PL_L_WRECK_W_7-2-21_P02.MP4,12102,16:44.4,T2,00:17.7,132.096,17.936,21.858,3182.026,16.959,8.791,28.091,-896.106,241.776,-3043.653,Wreck_East_07022021,GFG,30-37m,Acanthuridae,Ctenochaetus,striatus,37437022,1,AD,Passing,
PL_L_WRECK_W_7-2-21_P02.MP4,12249,16:49.3,T2,00:22.6,108.378,48.573,19.851,3205.688,29.072,66.837,11.412,-1398.203,686.561,-2801.803,Wreck_East_07022021,GFG,30-37m,Pomacanthidae,Genicanthus,,,2,AD,Passing,watanabei
PL_L_WRECK_W_7-2-21_P02.MP4,12249,16:49.3,T2,00:22.6,107.541,19.44,8.644,2532.147,28.366,20.705,10.764,-1146.164,365.435,-2228.123,Wreck_East_07022021,GFG,30-37m,Acanthuridae,Ctenochaetus,striatus,37437022,1,AD,Passing,
PL_L_WRECK_W_7-2-21_P02.MP4,12249,16:49.3,T2,00:22.6,133.905,27.253,31.869,2545.763,32.959,66.751,19.668,1040.404,-914.229,-2136.037,Wreck_East_07022021,GFG,30-37m,Chaetodontidae,Forcipiger,flavissimus,37365068,1,AD,Passing,
PL_L_WRECK_W_7-2-21_P02.MP4,12249,16:49.3,T2,00:22.6,244.206,14.907,20.514,3315.289,14.594,0.967,16.232,-706.521,445.682,-3208.323,Wreck_East_07022021,GFG,30-37m,Scaridae,Scarus,dimidiatus,37386013,2,AD,Passing,
PL_L_WRECK_W_7-2-21_P02.MP4,12404,16:54.5,T2,00:27.8,75.691,3.071,11.839,1188.595,27.748,13.505,46.235,-427.003,-352.004,-1051.912,Wreck_East_07022021,GFG,30-37m,Chaetodontidae,Chaetodon,,,2,AD,Passing,pelewensis
PL_L_WRECK_W_7-2-21_P02.MP4,12404,16:54.5,T2,00:27.8,93.927,7.159,11.785,2014.511,18.306,11.142,39.422,-608.979,-171.739,-1912.566,Wreck_East_07022021,GFG,30-37m,Pomacanthidae,Genicanthus,,,3,AD,Passing,watanabei
