"Survey","Reef","Site","Transect","Length_mm","Family","Genus","Species","Number","Comment","T_ID"
NA,"Bougainville","BVille_1","T9",46.577,"Blenniidae","Meiacanthus","sp",1,NA,"NA_BVille_1_T9"
NA,"Bougainville","BVille_1","T9",94.813,"Pomacentridae","Chromis","alpha",9,NA,"NA_BVille_1_T9"
NA,"Bougainville","BVille_1","T9",171.34,"Acanthuridae","Acanthurus","thompsoni",4,NA,"NA_BVille_1_T9"
NA,"Bougainville","BVille_1","T9",101.64,"Serranidae","Pseudanthias","pleurotaenia",3,NA,"NA_BVille_1_T9"
NA,"Bougainville","BVille_1","T9",60.236,"Pomacentridae","Chromis","amboinensis",12,NA,"NA_BVille_1_T9"
NA,"Bougainville","BVille_1","T9",145.21,"Pomacentridae","Chromis","xanthochira",2,NA,"NA_BVille_1_T9"
NA,"Bougainville","BVille_1","T10",132.662,"Labridae","Bodianus","anthioides",1,NA,"NA_BVille_1_T10"
NA,"Bougainville","BVille_1","T10",105.035,"Pomacentridae","Chromis","weberi",1,NA,"NA_BVille_1_T10"
NA,"Bougainville","BVille_1","T10",62.501,"Pomacentridae","Chromis","amboinensis",8,NA,"NA_BVille_1_T10"
NA,"Bougainville","BVille_1","T10",133.827,"Labridae","Bodianus","anthioides",1,NA,"NA_BVille_1_T10"
NA,"Bougainville","BVille_1","T10",169.465,"Serranidae","Cephalopholis","leopardus",1,NA,"NA_BVille_1_T10"
NA,"Bougainville","BVille_1","T10",130.777,"Pomacanthidae","Genicanthus","melanospilos",1,NA,"NA_BVille_1_T10"
NA,"Bougainville","BVille_1","T10",77.127,"Pomacentridae","Chromis","amboinensis",12,NA,"NA_BVille_1_T10"
NA,"Bougainville","BVille_1","T10",115.627,"Pomacentridae","Acanthochromis","polyacanthus",4,NA,"NA_BVille_1_T10"
NA,"Bougainville","BVille_1","T10",163.41,"Serranidae","Cephalopholis","leopardus",1,NA,"NA_BVille_1_T10"
NA,"Bougainville","BVille_1","T10",214.535,"Acanthuridae","Acanthurus","thompsoni",8,NA,"NA_BVille_1_T10"
NA,"Bougainville","BVille_1","T10",138.396,"Holocentridae","Myripristis","sp",4,NA,"NA_BVille_1_T10"
NA,"Bougainville","BVille_1","T10",128.641,"Pomacentridae","Chromis","xanthochira",3,NA,"NA_BVille_1_T10"
