Species,Southern,Central,Northern,Cryptobenthic
Labropsis australis,1,1,1,
Labropsis xanthonota ,,1,1,
Lepadichthys frenatus,,,,1
Lepadichthys sp.,,,,1
Lepidozygus tapeinosoma,,1,1,
Lethrinus atkinsoni,,1,,
Lethrinus erythracanthus,,1,1,
Lethrinus nebulosus,1,1,1,
Lethrinus olivaceus,1,1,1,
Lethrinus sp. 1,,1,,
Lethrinus xanthocheilus,1,1,1,
Limnichthys fasciatus,,,,1
Liopropoma susumi,1,,,1
Luposicya lupus,,,,1
Lutjanus argentimaculatus,,,1,
Lutjanus bohar ,1,1,1,
Lutjanus fulvus ,,1,1,
Lutjanus gibbus ,1,1,1,
Lutjanus kasmira ,1,1,1,
Lutjanus monostigma,,1,1,
Lutjanus rivulatus,1,1,1,
Lutjanus semicinctus,,,1,
Luzonichthys sp,,,1,
Luzonichthys waitei,,,1,
Macolor macularis ,1,1,1,
Macolor niger ,1,1,1,
Macropharyngodon choati,,1,,
Macropharyngodon kuiteri,,1,,
Macropharyngodon meleagris,1,1,1,
Macropharyngodon negrosensis,1,1,,
Malacanthus latovittatus,1,1,1,
Meiacanthus atrodorsalis,,1,1,1
Melichthys vidua,1,1,1,
Monotaxis grandoculis,1,1,1,
Monotaxis heterodon,1,1,1,
Mulloidichthys flavolineatus,1,1,,
Mulloidichthys vanicolensis,1,1,1,
Myripristis adusta,,,1,
Myripristis kuntee,1,1,1,
Myripristis murdjan,,1,,
Myripristis vittata,,1,,
Naso annulatus,1,1,1,
Naso brachycentron,,1,1,
Naso brevirostris,1,1,1,
Naso caesius,1,1,1,
Naso hexacanthus  ,1,1,1,
Naso lituratus ,1,1,1,
Naso tonganus,1,1,1,
Naso unicornis ,1,1,1,
Naso vlamingii,1,1,1,
Neamia octospina,,,,1
Nebrius ferrugineus,1,1,1,
Nemateleotris magnifica,1,,1,1
Neocirrhites armatus,1,1,1,1
Neoglyphidodon nigroris *,,,1,
Neoniphon sammara,1,1,1,
Neopomacentrus azysron *,,,1,
Neopomacentrus cf cyanomos,,1,,
Neosynchiropus morrisoni,,,,1
Neotrygon kuhlii,1,1,,
Norfolkia thomasi,,,,1
Novaculichthys taeniourus,1,1,,1
Odonus niger,,1,,
Ogilbyina queenslandiae,,,,1
Opistognathus seminudus,,,,1
Opistognathus stigmosus,,,,1
Ostorhinchus cyanosoma,,,,1
Ostracion cubicus,1,1,,
Ostracion meleagris,,1,1,
Oxycheilinus digramma,1,1,1,
Oxycheilinus orientalis,1,1,1,1
Oxycheilinus unifasciatus ,1,1,1,
Oxymonacanthus longirostris,1,1,1,
Paracaesio sordida,,,1,
Paracanthurus hepatus,1,1,1,
Paracentropyge multifasciatus,,1,1,
Paracirrhites arcatus,1,1,1,1
Paracirrhites forsteri ,1,1,1,
Paracirrhites hemistictus,1,1,,
Paragobiodon echinocephalus,,,,1
Paragobiodon lacunicolus,,,,1
Paragobiodon xanthosoma,,,,1
Parapercis clathrata,,,,1
Parupeneus barberinoides,,1,,
Parupeneus barberinus,1,1,1,
Parupeneus ciliatus,1,1,1,
Parupeneus crassilabris,1,1,1,
Parupeneus cyclostomus ,1,1,1,
Parupeneus multifasciatus ,1,1,1,
Parupeneus pleurostigma,1,1,1,
Parupeneus spilurus *,,1,,
Pempheris oualensis,1,,,
Pentapodus aureofasciatus *,,,,
Pervagor alternans,1,1,,
Pervagor janthinosoma,1,1,,1
Plagiotremus rhinorhynchos ,,1,1,
Plagiotremus tapeinosoma ,,1,1,
Platax batavianus *,,1,,
Platax pinnatus,,1,,
Platax teira,,1,,
platycephalid sp.,,,,1
Plectorhinchus albovittatus,,1,1,
Plectorhinchus chaetodonoides,1,1,1,
Plectorhinchus lessonii,,1,1,
Plectorhinchus lineatus,,1,1,
Plectorhinchus picus,1,1,,
Plectranthias nanus,,,,1
Plectroglyphidodon dickii ,1,1,1,
Plectroglyphidodon imparipennis,1,1,1,
Plectroglyphidodon johnstonianus ,1,1,1,
Plectroglyphidodon lacrymatus ,1,1,1,1
Plectroglyphidodon leucozonus,,,1,
Plectroglyphidodon phoenixensis,1,1,,
Plectropomus areolatus,,1,1,
Plectropomus laevis,1,1,1,
Plectropomus leopardus,1,1,1,
Plectropomus oligacanthus,,,1,
Plectrypops lima,,,,1
Plesiops caeruleolineatus,,,,1
Pleurosicya mossambica,,,,1
Plotosus lineatus,1,1,1,1
Pomacanthus imperator ,1,1,1,
Pomacanthus sexstriatus,,,1,
Pomacentrus amboinensis,,,1,1
Pomacentrus auriventris ,,,1,
Pomacentrus bankanensis ,1,1,1,
Pomacentrus brachialis ,1,,1,1
Pomacentrus chrysurus,,1,1,
Pomacentrus coelestis,1,1,1,
Pomacentrus imitator,1,1,1,
Pomacentrus lepidogenys,1,1,1,
Pomacentrus moluccensis,1,1,1,
Pomacentrus nagasakiensis,,1,1,1
Pomacentrus pavo,,,1,
Pomacentrus philippinus,1,,1,1
Pomacentrus vaiuli,1,1,1,1
Pomacentrus wardi,1,,,
Pomachromis richardsoni,1,1,1,
Priacanthus blochii,,1,,
Priacanthus hamrur,,1,,
Priolepis cincta,,,,1
Priolepis compita,,,,1
Priolepis inhaca,,,,1
Priolepis kappa,,,,1
Priolepis pallidicincta,,,,1
Priolepis psygmophila,,,,1
Priolepis sp.,,,,1
Prionurus maculatus,1,,,
Pristiapogon exostigma,,,,1
Prteragogus sp.,1,,,
Pseudanthias cooperi,,1,,
Pseudanthias pascalus,1,1,1,
Pseudanthias pleurotaenia ,,1,1,
Pseudanthias squamipinnis ,1,1,1,
Pseudanthias tuka,1,1,1,
Pseudobalistes flavimarginatus,,1,1,
Pseudobalistes fuscus,1,1,1,
Pseudocheilinus evanidus,1,1,1,1
Pseudocheilinus hexataenia,1,1,1,1
Pseudocheilinus octotaenia *,,1,,
Pseudochromis sp.,,,,1
Pseudochromis tapeinosoma,,,,1
Pseudocoris yamashiroi ,,,1,
Pseudodax moluccanus ,1,1,1,
Pseudogramma polyacanthus,,,,1
Pseudojuloides cerasinus,,1,,
Pseudoplesiops annae,,,,1
Pseudoplesiops sp.,,,,1
Pseudoplesiops wassi,,,,1
Pteragogus cryptus,1,1,,1
Pteragogus sp.,1,1,,
Ptereleotris evides,1,1,1,
Ptereleotris zebra,,1,1,
Pterocaesio digramma,1,1,,
Pterocaesio marri,,1,1,
Pterocaesio tile,1,1,1,
Pterocaesio trilineata,1,1,1,
Pterois volitans ,1,,1,1
Pygoplites diacanthus,1,1,1,1
Rhinecanthus aculeatus,,,1,
Rhinecanthus rectangulus,1,1,1,
Sargocentron caudimaculatum,,1,,
Sargocentron ittodai,,,,1
Sargocentron spiniferum,1,1,1,
Saurida gracilis,1,,,
Scarini sp.,,,,1
Scarus altipinnis,1,1,1,
Scarus chameleon ,1,1,1,
Scarus dimidiatus,,1,1,
Scarus forsteni,1,1,1,
Scarus frenatus ,1,1,1,
Scarus ghobban *,,,1,
Scarus globiceps,1,1,1,
Scarus longipinnis,1,1,1,
Scarus niger ,1,1,1,
Scarus oviceps ,1,1,1,
Scarus psittacus ,1,1,1,
Scarus rubroviolaceus ,1,1,1,
Scarus schlegeli ,1,1,1,
Scarus spinus ,1,1,1,
Scarus viridifucatus,,,1,
Scarus xanthopleura,1,1,1,
Scolopsis bilineata,1,,1,
Scomberoides commersonianus,,1,,
Scomberoides lysan ,,1,1,
Scomberoides sp,,,1,
Scomberomorus commerson,,,1,
scorpaenid sp.,,,,1
Scorpaenodes corallinus,,,,1
Scorpaenodes guamensis,,,,1
Scorpaenopsis macrochir,,,,1
Scorpaenopsis sp.,,,,1
Sebastapistes corallinus,,,,1
